user_id,animal,est_i,estimation
57447775,rabbit,0,30
57447775,rabbit,1,40
57447775,rabbit,2,70
57447775,rabbit,3,70
57447775,rabbit,4,75
57447775,rabbit,5,75
57447775,mouse,0,40
57447775,mouse,1,40
57447775,mouse,2,50
57447775,mouse,3,50
57447775,mouse,4,55
57447775,mouse,5,55
57447775,pigeon,0,25
57447775,pigeon,1,35
57447775,pigeon,2,35
57447775,pigeon,3,40
57447775,pigeon,4,40
57447775,pigeon,5,50
73731099,rabbit,0,90
73731099,rabbit,1,85
73731099,rabbit,2,85
73731099,rabbit,3,90
73731099,rabbit,4,80
73731099,rabbit,5,85
73731099,pigeon,0,90
73731099,pigeon,1,90
73731099,pigeon,2,95
73731099,pigeon,3,85
73731099,pigeon,4,90
73731099,pigeon,5,90
73731099,mouse,0,70
73731099,mouse,1,65
73731099,mouse,2,70
73731099,mouse,3,75
73731099,mouse,4,90
73731099,mouse,5,90
03621594,mouse,0,60
03621594,mouse,1,50
03621594,mouse,2,50
03621594,mouse,3,50
03621594,mouse,4,45
03621594,mouse,5,55
03621594,pigeon,0,25
03621594,pigeon,1,25
03621594,pigeon,2,35
03621594,pigeon,3,35
03621594,pigeon,4,30
03621594,pigeon,5,25
03621594,rabbit,0,75
03621594,rabbit,1,70
03621594,rabbit,2,70
03621594,rabbit,3,68
03621594,rabbit,4,70
03621594,rabbit,5,70
